Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
12394,SimAnimals Africa,Wii,2009,Simulation,Electronic Arts,0.1,0.01,0,0.01
12395,SimAnimals Africa,DS,2009,Simulation,Electronic Arts,0.08,0.02,0,0.01
12396,SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04
12397,SimCity,PC,1988,Simulation,Maxis,0,0.02,0,0.01
12398,SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0,0.19
12399,SimCity 2000,PC,1992,Simulation,Maxis,1.2,0.84,0,0.1
12400,SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0,0.08
12401,SimCity 2000,SNES,1995,Simulation,THQ,0,0,0.49,0
12402,SimCity 2000,SAT,1994,Simulation,Sega,0,0,0.28,0
12403,SimCity 2000,GBA,2003,Simulation,Zoo Digital Publishing,0.08,0.03,0,0
12404,SimCity 4,PC,2003,Simulation,Electronic Arts,0.01,0.24,0,0.05
12405,SimCity 4: Deluxe Edition,PC,2003,Simulation,Electronic Arts,0,0.06,0,0.01
12406,SimCity Creator,Wii,2008,Simulation,Electronic Arts,0.37,0.03,0.04,0.04
12407,SimCity Creator,DS,2008,Simulation,Electronic Arts,0.3,0.03,0,0.03
12408,SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts,0,0,0.18,0
12409,SimCity DS,DS,2007,Simulation,Electronic Arts,0.33,0.03,0.21,0.03
12410,SimCity Societies,PC,2007,Simulation,Electronic Arts,0,0.02,0,0
12411,SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0,0,0.16,0
12412,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,0,0,0.99,0.07
